satellite_id,name,object_id,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar,altitude_km_est,source
44714,STARLINK-1008,2019-074B,2026-05-07T18:15:32.983488,53.1545,261.6131,.00013646,17.5989,342.5065,15.46542200,.28610766E-3,433.99,CelesTrak public Starlink GP data
44718,STARLINK-1012,2019-074F,2026-05-07T19:52:03.839808,53.1586,261.6136,.00008894,9.0315,351.0709,15.46720473,.30576329E-3,433.46,CelesTrak public Starlink GP data
44723,STARLINK-1017,2019-074L,2026-05-07T14:09:05.867136,53.0480,258.6185,.00031665,282.5254,77.5391,15.29223011,.13505759E-2,485.27,CelesTrak public Starlink GP data
44724,STARLINK-1019,2019-074M,2026-05-08T00:08:53.291904,53.0267,192.9886,.0011141,357.3528,2.7447,16.15271347,.64843E-3,239.56,CelesTrak public Starlink GP data
44725,STARLINK-1020,2019-074N,2026-05-07T19:34:53.430816,53.1600,286.7817,.00013021,15.8299,344.2751,15.50454990,.12925703E-2,422.53,CelesTrak public Starlink GP data
44741,STARLINK-1036,2019-074AE,2026-05-07T17:46:49.498752,53.0426,260.1076,.0002369,220.2159,139.8681,15.66247137,.36462877E-3,376.79,CelesTrak public Starlink GP data
44744,STARLINK-1039,2019-074AH,2026-05-07T18:14:38.978304,53.0609,302.5777,.00003266,276.5963,83.4998,15.26567544,.15390448E-2,493.22,CelesTrak public Starlink GP data
44747,STARLINK-1042,2019-074AL,2026-05-07T12:49:53.950080,53.0412,171.7918,.00026788,16.8059,343.3038,15.52759049,.25285366E-3,415.81,CelesTrak public Starlink GP data
44748,STARLINK-1043,2019-074AM,2026-05-07T13:39:37.992672,53.0511,269.5543,.00011854,261.7367,98.3510,15.57838963,.38680278E-3,401.05,CelesTrak public Starlink GP data
44751,STARLINK-1046,2019-074AQ,2026-05-07T10:55:57.962208,53.0502,290.0428,.00040541,335.3970,24.6844,15.51370293,.12694843E-2,419.86,CelesTrak public Starlink GP data
44752,STARLINK-1047,2019-074AR,2026-05-07T16:23:43.664064,53.0686,230.1283,.00033922,58.0139,302.1191,15.33877025,.23638123E-3,471.4,CelesTrak public Starlink GP data
44753,STARLINK-1048,2019-074AS,2026-05-07T16:44:52.194912,53.0451,241.9050,.00053482,313.3085,46.7483,15.64488844,.87728708E-3,381.85,CelesTrak public Starlink GP data
44768,STARLINK-1063,2019-074BH,2026-05-07T21:38:48.852384,53.1576,301.9468,.000061,83.3977,276.7101,15.46491069,.7298579E-3,434.14,CelesTrak public Starlink GP data
44771,STARLINK-1067,2019-074BL,2026-05-08T00:00:02.000160,53.0438,273.7735,.00049613,262.1748,6.5327,15.70475836,.50167099E-3,364.67,CelesTrak public Starlink GP data
